bigram,raw_count,log_rarity_score
AA,1913489177,0.39539858375380965
AB,15386005538,0.20169036743600588
AC,31993660134,0.13366074223552316
AD,23202347740,0.16351658863937613
AE,1267738358,0.4336558824190544
AF,5971635350,0.28963955960212273
AG,18418672749,0.18497226393231547
AH,2649442627,0.36515833494758043
AI,20090957077,0.17689649513697947
AJ,862401373,0.4694576060118938
AK,6438563979,0.2826436096956614
AL,64032793037,0.06918293921838303
AM,22902383711,0.16472579298321477
AN,105422467512,0.022851571062859066
AO,969588635,0.4585711563176199
AP,15049927877,0.20374266609643998
AQ,882410135,0.4673262272768388
AR,68756067210,0.0625693889284249
AS,43550945165,0.10500277962961035
AT,80609883139,0.04778883499076003
AU,8610622447,0.2556306856851316
AV,12702579090,0.21950005198384648
AW,4177879274,0.3228345138157498
AX,1830526601,0.39951752448713096
AY,16749015766,0.1938026552949259
AZ,1919288786,0.39511735788013524
BA,13622702607,0.21300145000965032
BB,1170784338,0.4410491752747311
BC,851766051,0.47061072166383566
BD,467149365,0.5264282586560445
BE,27212687351,0.14870132073501696
BF,218548224,0.597019214285142
BG,168267558,0.6213149929137574
BH,320626864,0.5614031250525677
BI,8714189475,0.2545196498991802
BJ,1355781515,0.42741646194466243
BK,70233089,0.702508257422614
BL,14155655885,0.20943524960622084
BM,1060633477,0.45023102160590855
BN,353904700,0.5522266601958461
BO,14280375980,0.20862009476026322
BP,443158074,0.5313275808167764
BQ,27287934,0.7903587018575692
BR,7470955906,0.268823809808891
BS,4406092091,0.31789227174378554
BT,810975838,0.4751709665812187
BU,11550713430,0.22833345136704497
BV,152346227,0.6305518545828506
BW,197562503,0.6064003082131739
BX,64498535,0.7104234674918779
BY,9859174066,0.24304789049553543
BZ,57979840,0.7203245278777965
CA,35964886206,0.12278783980700947
CB,460498864,0.5277607008356642
CC,5922990413,0.2903996393710574
CD,1555353527,0.41465533819158973
CE,37978263270,0.11772604629331762
CF,503867826,0.5193969757600789
CG,380593440,0.5454705223520333
CH,34170408619,0.12754410538258665
CI,15114311349,0.20334597489744122
CJ,97724802,0.671811282924563
CK,13780629739,0.21193035482237133
CL,11632840915,0.22767506593988895
CM,789252854,0.4776940638708721
CN,661266058,0.4941356056196181
CO,52490369344,0.08765354701221417
CP,943130273,0.46114219963905145
CQ,246622061,0.585789005958363
CR,9927779823,0.24240349388350335
CS,4078415715,0.32507359424337656
CT,28898718663,0.1431151381076784
CU,9565348552,0.24585941689990465
CV,364293955,0.549537974713525
CW,314285016,0.5632595898014081
CX,70060659,0.7027366829372774
CY,4025081908,0.32629681892610185
CZ,141710058,0.637277193165415
DA,23279747379,0.1632071150938439
DB,6154952809,0.2868298063999729
DC,4458726250,0.31678877046658815
DD,6513992572,0.2815612906318944
DE,46344292825,0.0992258373176721
DF,3715422721,0.33373585091862235
DG,2821158761,0.35932269333865174
DH,2800725402,0.3599982000587192
DI,33302437545,0.12993505304137076
DJ,819560690,0.4741924319922657
DK,500625217,0.5199969312715963
DL,3577701820,0.3372458559943986
DM,4111096663,0.32433192751513606
DN,2569370944,0.3680100829402839
DO,17706639517,0.18863592080035063
DP,3534926059,0.3383636011130471
DQ,226027310,0.5938923154496238
DR,7792756412,0.2649049403478628
DS,14113090545,0.20971509603805094
DT,10976756096,0.2330696628463641
DU,10242237496,0.2395057432838954
DV,3577037604,0.3372631098199145
DW,3860562254,0.3301748700031285
DX,128002023,0.646731268510147
DY,3212165655,0.34726104240375555
DZ,88576018,0.6809454292783514
EA,55939058323,0.08174033755441223
EB,12666048968,0.2197676755360113
EC,39836916955,0.1132860086749784
ED,57514469508,0.07915942241769092
EE,27451934708,0.14788790332982782
EF,14743755990,0.20565263494140495
EG,11512774220,0.22863917821763768
EH,5682274341,0.29425515278230885
EI,16135583953,0.19726997594692397
EJ,1155599707,0.4422622816590077
EK,2534125107,0.3692936449043981
EL,37931534499,0.11784045431302737
EM,29776626954,0.1403341713714118
EN,77314896004,0.051667090024345
EO,14770877724,0.20548184980704787
EP,19436550393,0.17997371034271525
EQ,3453509796,0.34052891429423404
ER,119214789533,0.011426152763506003
ES,97326307798,0.030277002849073753
ET,42812689527,0.10659153242724906
EU,4861907859,0.3087443226120776
EV,14977965012,0.2041880702961959
EW,20003014022,0.1773041504067424
EX,13356752941,0.21483355443810215
EY,8418908993,0.25772305397680684
EZ,572494203,0.5075313101232892
FA,11428633961,0.22932081906682467
FB,743537251,0.4832387948043899
FC,1841861062,0.39894390536486657
FD,897530021,0.4657474406077263
FE,13440050156,0.21425583260037406
FF,8927389303,0.2522734912138501
FG,650480543,0.4956637719095085
FH,949061474,0.4605596287100211
FI,19753676090,0.1784697616172608
FJ,207854544,0.6016811698542308
FK,148461915,0.6329518949477793
FL,4335648043,0.3193899747522271
FM,1242973272,0.4354891547350984
FN,605786093,0.5022786979774603
FO,32748744509,0.13149305690131496
FP,1417227743,0.42329752737644466
FQ,59735805,0.7175519499204861
FR,14439772192,0.20758860322499773
FS,2218585525,0.38165089062750013
FT,13171357353,0.21613243745959676
FU,6162102012,0.2867219314288769
FV,260726492,0.5806209054437821
FW,839573399,0.4719505365894644
FX,94629102,0.6748026192598349
FY,1724190100,0.40507883128713784
FZ,36509757,0.7633045346621908
GA,14191497542,0.2092002599501741
GB,1366578321,0.4266793695419492
GC,1927221855,0.3947340526032499
GD,1162739419,0.4416899141262558
GE,28502237355,0.144398887904035
GF,1522326436,0.41664983537083944
GG,1992235463,0.3916509494642608
GH,12038664661,0.2244884918735085
GI,12005990636,0.22474104586573418
GJ,158380167,0.6269423522487589
GK,238985937,0.5887117637605963
GL,4011563990,0.3266094306583214
GM,1480461977,0.41924114185586037
GN,4692319436,0.31204357954872963
GO,11021593048,0.23269085716707283
GP,1616306418,0.41108317694147845
GQ,69240897,0.7038304043418768
GR,12028253431,0.22456889102716782
GS,5910027525,0.2906032386842361
GT,5752080734,0.29312051090572167
GU,5967924547,0.28969732256789216
GV,241097967,0.587894136003835
GW,1174624262,0.4407448945847444
GX,56198278,0.7232246961089581
GY,2323709882,0.37734884092963394
GZ,105114918,0.6650370456064935
HA,41206270659,0.11014542513481329
HB,1037322379,0.452296183709356
HC,1611390370,0.41136624678790046
HD,1040932622,0.4519733284051013
HE,106498528786,0.021907865236108326
HF,943913834,0.4610650274758378
HG,437064808,0.5326141534485724
HH,780236030,0.4787618149409004
HI,34041908708,0.12789422014742413
HJ,189902193,0.610075167274411
HK,202305693,0.6041956365730707
HL,1416667280,0.42333428378609694
HM,1825937267,0.39975079427606075
HN,2670439822,0.3644247821297971
HO,33037260281,0.13067796097898254
HP,1493976373,0.41839671012176616
HQ,217009782,0.5976756720958676
HR,4812087922,0.3097014527882612
HS,2518213365,0.369878969286776
HT,10529516272,0.23693518202832786
HU,3823520600,0.3310707948575523
HV,268620105,0.5778492592779791
HW,1106455831,0.4463006355367989
HX,49621720,0.7347901017620031
HY,2609376360,0.3665743535242928
HZ,150561714,0.6316467785641231
IA,19042814662,0.18187549779638434
IB,5903154131,0.2907113756788138
IC,45663138305,0.1006017806916969
ID,17905542743,0.18759787230159775
IE,24933647247,0.15682915453009583
IF,10654256107,0.235840780293752
IG,16254923119,0.19658521796115458
IH,828926953,0.47313645315580155
II,1153899993,0.4423990633311248
IJ,413267980,0.5378166697464778
IK,3004540659,0.3534704579783946
IL,30603240902,0.13778964126118232
IM,15472128922,0.20117166004575404
IN,134812613554,0.0
IO,45866820943,0.10018819895923725
IP,8282654910,0.2592393078034697
IQ,714359764,0.48695884602521744
IR,17041448765,0.19219418535934973
IS,56531345460,0.08076159617368772
IT,60786494374,0.07401769579691886
IU,1065701405,0.44978805653358866
IV,15535972775,0.20078899886079327
IW,937945354,0.46165447882215194
IX,1448111540,0.4212942488172241
IY,121243061,0.6517724203549204
IZ,3432225830,0.3411033924036009
JA,4192981909,0.3224991988426178
JB,62340028,0.7135865750528225
JC,107858822,0.6626424246895076
JD,72160777,0.6999920764220736
JE,3747477349,0.3329375701357311
JF,37277622,0.7613703927157928
JG,28530574,0.7862205279283895
JH,40926707,0.7526920149825289
JI,483957192,0.5231435451426538
JJ,36263263,0.7639340517053733
JK,95237627,0.6742069558433181
JL,41748140,0.7508453721004809
JM,75950627,0.6952354590739158
JN,49314888,0.7353664897306813
JO,4529294446,0.31532954041612105
JP,158759746,0.626719907904371
JQ,2858953,1.0
JR,137430055,0.6401270677378744
JS,116730486,0.6552970841445869
JT,44567068,0.7447735223583829
JU,4054670856,0.32561620115683787
JV,43025818,0.7480440585480922
JW,34888766,0.7675247624022818
JX,5682177,0.9361707124156088
JY,10880910,0.8757986115538584
JZ,8070227,0.9035676935565052
KA,3410386694,0.3416965701756963
KB,920890175,0.46335976547561253
KC,719563902,0.4862843264355241
KD,444574347,0.5310310736798534
KE,14119208748,0.2096748199270454
KF,858798087,0.4698466852495047
KG,471310827,0.5256041152033086
KH,1062473733,0.45006992873747087
KI,8615590792,0.2555770823480441
KJ,197923765,0.6062305382396105
KK,212180979,0.5997667842986016
KL,1241504553,0.43559902331918476
KM,718788756,0.48638448499290066
KN,2428470642,0.3732510861479247
KO,2259439291,0.3799552744965682
KP,704408597,0.4882624315520817
KQ,37052361,0.7619336323156238
KR,740459498,0.4836242477110464
KS,6218068120,0.28588175336040234
KT,2071966322,0.38800444463398387
KU,678961264,0.491681618483522
KV,137367043,0.6401696845554848
KW,604099193,0.5025378265561466
KX,35373414,0.7662427814600146
KY,961304416,0.45936853735806893
KZ,34039551,0.769814637708395
LA,35279652135,0.12457544107265173
LB,3160411900,0.34877044875585095
LC,4046692044,0.32579924291338136
LD,12631807015,0.22001923749338415
LE,52533619401,0.08757701060188217
LF,3565589819,0.3375609845956572
LG,1387253469,0.4252839999103373
LH,1181528402,0.44020029501430424
LI,45239121467,0.10146870556238285
LJ,284682384,0.5724524574446799
LK,1518763585,0.41686757549776754
LL,36610231690,0.12113517088159775
LM,2961674921,0.3548057883447808
LN,1384111140,0.42549473073260113
LO,28357992178,0.1448703681627559
LP,4956631224,0.30695126762671177
LQ,111266921,0.6597515870031998
LR,2690464933,0.3637305435415886
LS,13556674443,0.21345295282869536
LT,10910014701,0.23363640409824793
LU,8610377071,0.25563333384144693
LV,1803473089,0.40090114399965526
LW,1550108402,0.4149692444215082
LX,86895575,0.6827253478264397
LY,16052501931,0.19774969035184642
LZ,115185658,0.6565350978704815
MA,40261070734,0.11230182607199024
MB,7720936043,0.26576535034163595
MC,1626785459,0.41048264835249115
MD,874654976,0.4681465326567045
ME,50958591639,0.09040569157695477
MF,978327583,0.45773735671454907
MG,575888276,0.5069820149611522
MH,665327302,0.4935666315048842
MI,19090900236,0.181641141941137
MJ,181720004,0.614167848692577
MK,156392461,0.6281159812907886
ML,1266359764,0.4337569898064867
MM,7863945051,0.2640598886058696
MN,956700910,0.4598146141485433
MO,21343638917,0.1712759306852769
MP,14257278755,0.20877051681252856
MQ,41533036,0.7513254066342809
MR,980047617,0.4575741225235135
MS,8187806253,0.2603095944735647
MT,2714425956,0.3629066119425276
MU,6695170465,0.27901195491768727
MV,242727741,0.587268084627979
MW,853594935,0.47041140670589465
MX,127278984,0.6472576665531536
MY,4121819744,0.32408986027688247
MZ,41663902,0.7510330656382636
NA,31835157885,0.1341222610478977
NB,3413336523,0.3416162276733353
NC,24737829432,0.15756183947519364
ND,68018862077,0.06357113107486001
NE,48426255131,0.09514227450952972
NF,8729196286,0.25435975757190776
NG,54671896948,0.08386956802532952
NH,2792670858,0.3602658305305595
NI,25359266664,0.15525627706229594
NJ,1346516080,0.4280537037064497
NK,5529228890,0.2967923454416741
NL,6853881320,0.27683480927596693
NM,4584364328,0.3142064969726772
NN,7623559267,0.2669447975369368
NO,30618138499,0.13774441579951313
NP,3592621275,0.3368591465763229
NQ,331688568,0.5582511998580124
NR,2550646385,0.3686897746804414
NS,32458807204,0.13231943529649925
NT,71720202984,0.05864719122333906
NU,7465786219,0.26888813458342453
NV,3435172018,0.3410236593927902
NW,2850280693,0.35836835891534213
NX,234953096,0.5902932630136801
NY,7149394479,0.2729121412681541
NZ,459403891,0.5279819245012718
OA,8232231588,0.25980675714955914
OB,8520934320,0.2566036837615415
OC,13671886937,0.2126665458427508
OD,14558819018,0.2068256230564567
OE,3398500076,0.34202102372108023
OF,44948393239,0.10206782329703257
OG,9537105190,0.24613420469628966
OH,2835788339,0.3588420526442593
OI,6197247704,0.2861934283309274
OJ,1211299844,0.43788780085773715
OK,6337630431,0.28411190345347037
OL,23553044761,0.1621225384703714
OM,38270823174,0.11701294342969315
ON,100461773921,0.027330490484687386
OO,17541371381,0.18950734092718224
OP,19077697278,0.18170543068584155
OQ,137285683,0.6402247395754809
OR,85998433585,0.04177575938250899
OS,19821367131,0.1781518692445958
OT,32419391981,0.13243234600793186
OU,52913816186,0.08690690354931219
OV,11763317241,0.22663858442242957
OW,19972624694,0.1774454352772491
OX,1680672450,0.40745435510310635
OY,3224756847,0.3468974967065164
OZ,450998032,0.5296979793487928
PA,24898597250,0.1569598761729203
PB,553313511,0.510698046900256
PC,1449681886,0.42119353295823414
PD,1487379715,0.4188079362643572
PE,25126480018,0.15611324040716945
PF,750300132,0.4823973971871016
PG,575977478,0.5069676222498369
