Word,LFS,PLFS,RLP,HLT,WSA,OS,ODS,ExpectedGuesses
ROSSA,0.187,0.548,1.0,0.287,0.238,0.68,0.46,4.11
JETTY,0.659,0.575,1.0,0.691,0.376,0.63,0.656,4.796
WIZZO,0.857,0.77,1.0,0.99,0.834,1.0,0.903,5.66
CUPPA,0.674,0.642,1.0,0.769,0.374,0.694,0.69,4.915
COHOE,0.508,0.537,1.0,0.794,0.323,1.0,0.675,4.863
GURKS,0.627,0.374,0.0,0.834,0.363,1.0,0.542,4.397
SQUAD,0.571,0.545,0.0,0.945,0.551,0.114,0.466,4.131
BEISA,0.307,0.483,0.0,0.307,0.163,1.0,0.37,3.795
SHRUG,0.619,0.511,0.0,0.882,0.232,0.635,0.494,4.229
FOSSA,0.304,0.566,1.0,0.333,0.589,0.689,0.553,4.436
FLUYT,0.779,0.709,0.0,0.969,0.367,1.0,0.652,4.782
CAMUS,0.511,0.36,0.0,0.525,0.285,0.667,0.403,3.91
SPEED,0.331,0.396,1.0,0.325,0.586,0.012,0.431,4.008
MAMIL,0.575,0.494,1.0,0.355,0.556,1.0,0.655,4.792
ARRAY,0.375,0.448,1.0,0.38,0.252,0.04,0.412,3.942
POLIO,0.545,0.437,1.0,0.253,0.704,0.574,0.581,4.534
BARNS,0.429,0.213,0.0,0.417,0.389,0.582,0.347,3.714
PANES,0.317,0.101,0.0,0.032,0.353,0.664,0.252,3.382
SOUTS,0.362,0.228,1.0,0.257,0.389,1.0,0.522,4.327
LIMAS,0.411,0.417,0.0,0.246,0.534,1.0,0.432,4.012
FETCH,0.692,0.621,0.0,0.547,0.249,0.345,0.437,4.03
QUECK,0.763,0.69,0.0,0.715,0.342,1.0,0.603,4.61
TWINK,0.766,0.626,0.0,0.564,0.272,0.429,0.475,4.162
GRAZE,0.524,0.55,0.0,0.903,0.216,0.672,0.482,4.187
CROCK,0.708,0.595,1.0,0.618,0.335,0.614,0.651,4.778
ALMUD,0.613,0.674,0.0,0.851,0.566,1.0,0.617,4.659
OOHED,0.492,0.516,1.0,0.44,0.709,1.0,0.673,4.856
COLOG,0.636,0.489,1.0,0.425,0.408,1.0,0.657,4.8
WISHT,0.629,0.68,0.0,0.457,0.391,1.0,0.536,4.376
BEARD,0.449,0.437,0.0,0.218,0.084,0.316,0.27,3.445
SAMEL,0.308,0.291,0.0,0.231,0.345,1.0,0.357,3.75
AHIND,0.589,0.57,0.0,0.297,0.529,1.0,0.507,4.274
BRUNG,0.753,0.616,0.0,0.63,0.316,1.0,0.573,4.506
BARCA,0.477,0.406,1.0,0.371,0.362,0.675,0.541,4.394
MAHAL,0.497,0.536,1.0,0.453,0.815,0.566,0.63,4.705
JAMBE,0.607,0.586,0.0,0.777,0.302,1.0,0.552,4.432
PLUSH,0.631,0.631,0.0,0.606,0.642,0.213,0.472,4.152
BRUJA,0.681,0.65,0.0,0.99,0.276,1.0,0.608,4.628
HOWRE,0.563,0.568,0.0,0.545,0.313,1.0,0.505,4.268
MIDDY,0.758,0.585,1.0,0.859,0.833,1.0,0.831,5.408
KABAB,0.589,0.585,1.0,0.829,0.901,1.0,0.794,5.279
