start,target,steps
putti,boose,8
putti,sessa,9
putti,foals,7
putti,smily,9
putti,rishi,8
putti,gobbi,9
putti,moana,7
putti,rakki,8
putti,jumpy,6
putti,moyas,6
putti,pongy,5
putti,treyf,9
putti,pengo,5
putti,hogoh,8
putti,liwaa,7
putti,stubs,8
putti,hokas,7
putti,atony,10
putti,sells,7
putti,sizel,8
putti,jills,7
putti,cribs,7
putti,smogs,8
putti,homme,8
putti,fanon,8
putti,humic,9
putti,wends,6
putti,fabby,8
putti,pawed,7
putti,yummo,9
putti,mavin,8
putti,shish,9
putti,sorbs,6
putti,adios,7
putti,hotel,7
putti,poupt,8
putti,steed,9
putti,fakes,7
putti,bards,7
putti,tomia,9
putti,malam,7
putti,leers,8
putti,narra,7
putti,roven,7
putti,poufy,5
putti,seise,8
putti,chaos,7
putti,fuzes,7
putti,khazi,9
putti,whies,8
putti,ratel,7
putti,tiffs,7
putti,topos,7
putti,ummas,8
putti,noois,7
putti,demon,8
putti,choko,8
putti,gashy,6
putti,trems,7
putti,frore,9
putti,krans,7
putti,fains,8
putti,kexes,7
putti,erven,10
putti,ruote,8
putti,harsh,9
putti,shogs,7
putti,toper,7
putti,sanad,8
putti,stunt,9
putti,dawen,9
putti,direr,8
putti,tuner,7
putti,dwarf,9
putti,prest,8
putti,eever,9
putti,marvy,7
putti,kipah,7
putti,ament,10
putti,bucku,7
putti,varda,7
putti,eager,8
putti,guava,10
putti,jucos,8
putti,dodgy,7
putti,plead,7
putti,hails,7
putti,kithe,7
putti,areal,9
putti,cooee,7
putti,koaps,8
putti,swear,9
putti,wiper,8
putti,cadge,9
putti,yamen,9
putti,feist,9
putti,odyls,10
putti,gilas,6
putti,drave,8
putti,linds,6
putti,grews,8
putti,hints,5
putti,cully,5
putti,waist,9
putti,dolts,5
putti,antes,8
putti,skoff,9
putti,jemmy,9
putti,walty,6
putti,lease,7
putti,trots,6
putti,herps,7
putti,liens,7
putti,covey,7
putti,towse,7
putti,temps,7
putti,axing,10
putti,forma,7
putti,skein,9
putti,depth,8
putti,tanti,6
putti,starn,8
putti,gauje,10
putti,salle,7
putti,slopy,8
putti,silds,7
putti,foamy,8
putti,dints,5
putti,carol,9
putti,skegg,8
putti,codex,7
putti,seyen,9
putti,foody,6
putti,chiks,7
putti,culpa,8
putti,recta,7
putti,tunas,5
putti,perry,5
putti,wisps,7
putti,bract,8
putti,seven,9
putti,prawn,8
putti,parer,7
putti,arled,9
putti,fuffs,7
putti,heils,8
putti,split,9
putti,tamer,8
putti,trine,9
putti,ziffs,8
putti,breis,8
putti,clout,8
putti,winks,6
putti,pappi,7
putti,recti,7
putti,phone,7
putti,towzy,7
putti,rugae,8
putti,wited,7
putti,coley,7
putti,hemes,7
putti,wared,8
putti,shank,9
putti,budes,5
putti,fuffy,6
putti,creps,7
putti,boppy,7
putti,borts,5
putti,quate,6
putti,divis,7
putti,mogos,7
putti,slipt,8
putti,brace,8
putti,queyu,8
putti,sered,8
putti,ataps,9
putti,dials,8
putti,pooey,5
putti,pimas,5
putti,bulky,6
putti,viola,9
putti,skosh,9
putti,felty,6
putti,durry,5
putti,hoors,6
putti,minds,6
putti,swats,7
putti,mabes,6
putti,aches,7
putti,plute,6
putti,holks,6
putti,kiley,7
putti,weeds,7
putti,kreen,9
putti,gusto,5
putti,huzzy,8
putti,talik,8
putti,kites,6
putti,panax,7
putti,spies,7
putti,gebur,9
putti,imide,10
putti,virid,9
putti,auric,7
putti,pushy,6
putti,siler,8
putti,sloes,7
putti,albas,8
putti,arsed,10
putti,urite,8
putti,swabs,8
putti,oasal,8
putti,odahs,10
putti,glent,10
putti,spurn,8
putti,pekea,7
putti,hider,8
putti,gerbe,9
putti,dinge,7
putti,dervs,7
putti,owler,9
putti,morae,7
putti,vamps,8
putti,troad,10
putti,sleep,9
putti,lyres,7
putti,natis,7
putti,ansas,7
putti,tranq,8
putti,yates,6
putti,makee,7
putti,snuff,9
putti,farad,9
putti,klang,9
putti,mosso,6
putti,sakes,7
putti,didie,8
putti,waged,8
putti,silva,10
putti,sperm,9
putti,carrs,7
putti,rewet,9
putti,caulk,8
putti,aapas,6
putti,makar,8
putti,pesch,8
putti,towsy,6
putti,prodd,7
putti,pared,7
putti,bilbo,9
putti,jeera,9
putti,wines,6
putti,sucks,6
putti,venti,6
putti,derro,7
putti,rater,7
putti,nemic,8
putti,pagan,7
putti,irons,8
putti,goony,7
putti,nonan,8
putti,jollo,7
putti,germs,7
putti,eisel,9
putti,razee,8
putti,oxine,10
putti,keros,7
putti,atman,8
putti,pules,5
putti,waqfs,8
putti,welds,7
putti,musks,5
putti,avert,10
putti,beers,7
putti,tauty,5
putti,abler,10
