Word,OS
ROSSA,0.68
JETTY,0.63
WIZZO,1.0
CUPPA,0.694
COHOE,1.0
GURKS,1.0
SQUAD,0.114
BEISA,1.0
SHRUG,0.635
FOSSA,0.689
FLUYT,1.0
CAMUS,0.667
SPEED,0.012
MAMIL,1.0
ARRAY,0.04
POLIO,0.574
BARNS,0.582
PANES,0.664
SOUTS,1.0
LIMAS,1.0
FETCH,0.345
QUECK,1.0
TWINK,0.429
GRAZE,0.672
CROCK,0.614
ALMUD,1.0
OOHED,1.0
COLOG,1.0
WISHT,1.0
BEARD,0.316
SAMEL,1.0
AHIND,1.0
BRUNG,1.0
BARCA,0.675
MAHAL,0.566
JAMBE,1.0
PLUSH,0.213
BRUJA,1.0
HOWRE,1.0
MIDDY,1.0
KABAB,1.0
ZEALS,1.0
MAZEL,0.699
SPUTA,1.0
GOORY,1.0
PAILS,0.684
SCOGS,1.0
SNOOL,1.0
POBOY,1.0
DOEST,0.861
ORIXA,1.0
QUIPO,1.0
BURBS,0.69
GOADS,1.0
BLAUD,1.0
FLOCS,1.0
HARIM,1.0
MAMEY,1.0
PRIMP,0.878
LATHY,1.0
LUNES,0.693
STAPS,1.0
SALAD,0.112
AGONY,0.548
GUSLI,1.0
DAMPS,1.0
TOCKS,1.0
HOICK,1.0
MARRY,0.228
AMPLY,0.677
GLISK,1.0
PULIS,1.0
APTER,0.798
SHELL,0.049
CAPAS,1.0
SAUNF,1.0
KUTIS,1.0
TEGGS,1.0
HALSH,1.0
GAMMA,0.028
TARDY,0.679
TEASE,0.495
TOWTS,1.0
ABUTS,0.699
ALLEE,0.689
CHINS,0.689
ROLLY,0.699
SITUS,0.682
BARDS,0.68
PHYMA,1.0
TORRS,1.0
CHACE,0.703
BIKKY,1.0
STOOR,1.0
QUINK,1.0
WEDGY,1.0
VISES,0.695
SWORE,0.641
UPSEE,1.0
GYVES,1.0
HEAPY,1.0
GILAS,1.0
GAIRS,1.0
YONIC,1.0
WAGON,0.192
RANCE,0.689
SWAIL,1.0
LAXED,1.0
PANNE,0.719
TABUS,0.836
ANOMY,1.0
SWARM,0.589
SWORD,0.113
PHARM,0.595
PENES,0.73
SNOEK,1.0
RAZET,1.0
NAHAL,1.0
KAPUS,1.0
LOKEY,1.0
GOBOS,1.0
JAILS,0.634
AFARS,1.0
NERKA,1.0
CUNDY,1.0
SNARK,0.662
INTRA,0.324
BUNDH,1.0
TANGA,0.683
BAAED,1.0
SOLUS,0.691
SENOR,0.673
UMAMI,0.88
WARED,1.0
SHARP,0.04
PEWED,1.0
TUKTU,1.0
KNOWD,1.0
DAWDS,1.0
FLURR,1.0
INERT,0.612
TAXUS,0.732
RUANA,1.0
SULCI,1.0
JADED,0.65
OTHYL,1.0
REDIG,1.0
MANKY,1.0
OVISM,1.0
MATLO,1.0
CEASE,0.245
PERAE,1.0
SIXES,0.692
PUBCO,1.0
YAPPY,1.0
FAMED,0.572
HEXED,1.0
BAWRS,1.0
DECRY,0.689
IDDAH,1.0
DIXIT,0.677
CASED,0.67
RUPIA,1.0
TOIDY,1.0
HODAD,1.0
YUKES,1.0
GAFFE,0.697
ANNOY,0.553
LEUGH,1.0
HOWAY,1.0
PIXEL,0.113
LINGA,1.0
BAYOU,0.563
LURGY,1.0
LEARS,1.0
SCRAT,1.0
PRIZE,0.062
HOMES,0.015
SCROO,1.0
EGEST,1.0
MOPUS,1.0
VERBS,0.523
MAPLE,0.103
BARFS,1.0
JUDGE,0.032
SALLE,0.56
SHINE,0.17
ZINEB,1.0
FLEXO,0.692
GISMO,1.0
REARS,0.683
KHADS,1.0
BEGUM,0.696
GLADE,0.588
IMAMS,0.692
STRAD,1.0
VENAE,1.0
SKENE,0.704
MOTEN,1.0
RUGBY,0.077
GOELS,1.0
KHAZI,1.0
BELIT,1.0
SMOLT,0.699
MORIN,0.649
OFAYS,1.0
SURAL,1.0
JANNY,1.0
SHORT,0.009
SWISH,0.611
HAETS,1.0
OWNED,0.029
MUSKY,0.692
GIMPS,0.889
NODES,0.089
LEFTY,0.608
FURCA,1.0
EXOME,1.0
DRIBS,1.0
GOUKS,1.0
SMEWS,1.0
MUNTS,1.0
CHIRO,0.698
LEARN,0.006
MOCUS,1.0
SLIME,0.619
MOKIS,1.0
NEVIS,0.221
ARCUS,0.697
PRIGS,1.0
RENTE,1.0
YFERE,1.0
HIKER,0.639
CRAME,1.0
IRKED,0.698
NAIRA,0.675
STIRE,1.0
NAGAS,0.887
PEISY,1.0
MISER,0.687
VIVDA,1.0
DOLIE,1.0
WEAVE,0.504
UMBEL,1.0
BARMY,0.799
LOUNS,1.0
DIDOS,1.0
VIOLD,1.0
FOWTH,1.0
GUQIN,1.0
KAYOS,1.0
FINCA,0.673
TATHS,1.0
ELIAD,1.0
DORTS,1.0
COOEY,1.0
DICTY,1.0
BOBAK,1.0
LOWSE,1.0
TUILE,1.0
LAKED,1.0
TARTS,0.636
REEFY,1.0
AGAMA,0.824
THING,0.01
SHORE,0.08
NICKS,0.635
NUNNY,1.0
AKOYA,0.687
SNAWS,1.0
WRITS,0.683
DOUBT,0.049
ALIVE,0.062
BEAUT,0.694
IBRIK,1.0
HEMPS,1.0
TOWED,0.643
CROUT,1.0
MOGUL,0.631
HALID,1.0
PECKY,1.0
ECHED,1.0
MUSIT,1.0
COUTH,1.0
ACRON,1.0
DYNES,0.824
GOTHY,1.0
BUNDY,0.656
SEEPS,0.691
DEEPS,0.742
PLENE,1.0
KUKUS,1.0
PETRE,0.698
PUTTO,1.0
DARLS,1.0
WARPS,0.697
SHOJI,0.686
EMOJI,1.0
HIKED,0.677
OMITS,0.678
RAINY,0.405
FILLS,0.38
ZINES,0.605
BORES,0.68
ALGOR,0.781
OLIVA,0.644
MIDGE,0.678
VIZOR,1.0
HAFTA,0.77
MULLA,0.821
PALED,0.791
KNEED,0.815
FIBRE,0.195
PTISH,1.0
REDAN,0.725
EXODE,1.0
ZORRO,0.606
DROLL,0.69
NIECE,0.589
SEGNO,0.699
SCEAT,1.0
TUNES,0.151
MOMPE,1.0
