Word,RawWSA,WSA
ROSSA,354.3,0.238
JETTY,538.5,0.376
WIZZO,1147.8,0.834
CUPPA,535.7,0.374
COHOE,467.1,0.323
GURKS,520.4,0.363
SQUAD,770.8,0.551
BEISA,254.0,0.163
SHRUG,346.0,0.232
FOSSA,821.4,0.589
FLUYT,526.2,0.367
CAMUS,417.0,0.285
SPEED,817.1,0.586
MAMIL,777.9,0.556
ARRAY,372.8,0.252
POLIO,974.0,0.704
BARNS,555.6,0.389
PANES,507.5,0.353
SOUTS,555.2,0.389
LIMAS,747.8,0.534
FETCH,369.2,0.249
QUECK,493.2,0.342
TWINK,399.8,0.272
GRAZE,324.5,0.216
CROCK,483.7,0.335
ALMUD,791.0,0.566
OOHED,981.0,0.709
COLOG,580.2,0.408
WISHT,558.4,0.391
BEARD,149.3,0.084
SAMEL,496.7,0.345
AHIND,741.3,0.529
BRUNG,457.7,0.316
BARCA,519.5,0.362
MAHAL,1121.4,0.815
JAMBE,439.1,0.302
PLUSH,892.2,0.642
BRUJA,404.6,0.276
HOWRE,454.4,0.313
MIDDY,1145.7,0.833
KABAB,1236.7,0.901
ZEALS,378.8,0.256
MAZEL,549.2,0.384
SPUTA,415.9,0.284
GOORY,666.1,0.472
PAILS,706.3,0.503
SCOGS,577.9,0.406
SNOOL,1007.9,0.729
POBOY,1362.9,0.996
DOEST,307.7,0.203
ORIXA,333.8,0.223
QUIPO,1063.2,0.771
BURBS,520.4,0.363
GOADS,448.3,0.309
BLAUD,442.5,0.304
FLOCS,557.8,0.391
HARIM,437.3,0.3
MAMEY,597.0,0.42
PRIMP,545.3,0.382
LATHY,692.2,0.492
LUNES,789.1,0.565
STAPS,485.4,0.337
SALAD,758.0,0.541
AGONY,815.1,0.584
GUSLI,938.8,0.677
DAMPS,919.4,0.663
TOCKS,483.6,0.335
HOICK,441.7,0.304
MARRY,674.3,0.479
AMPLY,857.4,0.616
GLISK,982.4,0.71
PULIS,928.6,0.67
APTER,107.0,0.052
SHELL,890.2,0.641
CAPAS,637.8,0.451
SAUNF,627.4,0.443
KUTIS,484.3,0.336
TEGGS,556.5,0.39
HALSH,904.6,0.652
GAMMA,1236.7,0.901
TARDY,220.7,0.138
TEASE,276.0,0.179
TOWTS,714.8,0.509
ABUTS,336.4,0.225
ALLEE,187.6,0.113
CHINS,541.3,0.379
ROLLY,453.6,0.313
SITUS,440.7,0.303
BARDS,405.3,0.276
PHYMA,1278.1,0.932
TORRS,355.9,0.239
CHACE,336.9,0.225
BIKKY,1279.6,0.933
STOOR,348.0,0.233
QUINK,913.0,0.658
WEDGY,896.5,0.646
VISES,927.6,0.669
SWORE,319.1,0.212
UPSEE,407.9,0.278
GYVES,1043.8,0.756
HEAPY,425.7,0.292
GILAS,738.9,0.527
GAIRS,360.3,0.242
YONIC,535.2,0.374
WAGON,942.9,0.68
RANCE,301.2,0.198
SWAIL,296.0,0.194
LAXED,340.4,0.228
PANNE,423.2,0.29
TABUS,437.3,0.3
ANOMY,852.7,0.613
SWARM,405.1,0.276
SWORD,358.5,0.241
PHARM,502.6,0.349
PENES,864.8,0.622
SNOEK,867.6,0.624
RAZET,330.9,0.22
NAHAL,1021.5,0.739
KAPUS,907.4,0.654
LOKEY,1012.4,0.733
GOBOS,1368.1,1.0
JAILS,706.3,0.503
AFARS,190.3,0.115
NERKA,427.2,0.293
CUNDY,565.0,0.396
SNARK,396.4,0.27
INTRA,151.5,0.086
BUNDH,1068.0,0.774
TANGA,600.1,0.423
BAAED,182.7,0.109
SOLUS,980.7,0.709
SENOR,432.8,0.297
UMAMI,399.4,0.272
WARED,249.3,0.159
SHARP,405.1,0.276
PEWED,893.8,0.643
TUKTU,574.6,0.404
KNOWD,1092.9,0.793
DAWDS,919.4,0.663
FLURR,355.8,0.239
INERT,239.6,0.152
TAXUS,437.3,0.3
RUANA,214.2,0.133
SULCI,199.6,0.122
JADED,354.2,0.238
OTHYL,665.1,0.472
REDIG,458.0,0.316
MANKY,1136.8,0.826
OVISM,1032.8,0.748
MATLO,451.0,0.311
CEASE,275.0,0.178
PERAE,350.0,0.235
SIXES,801.1,0.574
PUBCO,541.4,0.379
YAPPY,1236.7,0.901
FAMED,388.2,0.263
HEXED,893.8,0.643
BAWRS,598.5,0.422
DECRY,298.1,0.196
IDDAH,924.6,0.667
DIXIT,484.6,0.336
CASED,168.6,0.098
RUPIA,407.9,0.278
TOIDY,423.1,0.29
HODAD,1028.6,0.745
YUKES,980.2,0.708
GAFFE,439.1,0.302
ANNOY,852.7,0.613
LEUGH,806.4,0.578
HOWAY,1084.2,0.787
PIXEL,876.7,0.631
LINGA,757.0,0.541
BAYOU,987.3,0.714
LURGY,408.5,0.279
LEARS,300.4,0.197
SCRAT,308.7,0.204
PRIZE,389.2,0.264
HOMES,1097.1,0.796
SCROO,152.8,0.087
EGEST,396.7,0.27
MOPUS,1218.1,0.887
VERBS,499.0,0.347
MAPLE,416.9,0.285
BARFS,614.1,0.433
JUDGE,551.8,0.386
SALLE,369.8,0.25
SHINE,424.8,0.291
ZINEB,884.6,0.637
FLEXO,834.9,0.599
GISMO,1083.4,0.786
REARS,307.4,0.203
KHADS,484.9,0.336
BEGUM,932.4,0.673
GLADE,139.3,0.076
IMAMS,378.4,0.256
STRAD,179.7,0.107
VENAE,408.2,0.278
SKENE,421.4,0.288
MOTEN,541.2,0.378
RUGBY,504.3,0.351
GOELS,1011.8,0.732
KHAZI,445.8,0.307
BELIT,331.9,0.221
