Word,LFS,PLFS,RLP,HLT,MatchReduction,AvgElimination,FeedbackGreen,FeedbackYellow,FeedbackGray
ROSSA,0.187,0.548,1.0,0.287,443.602,13703.333,0.093,0.253,0.653
JETTY,0.659,0.575,1.0,0.691,56.439,13769.667,0.04,0.2,0.76
WIZZO,0.857,0.77,1.0,0.99,36.521,13403.267,0.027,0.093,0.88
CUPPA,0.674,0.642,1.0,0.769,49.06,13771.6,0.053,0.187,0.76
COHOE,0.508,0.537,1.0,0.794,80.408,14233.933,0.147,0.107,0.747
GURKS,0.627,0.374,0.0,0.834,30.042,13798.133,0.027,0.2,0.773
SQUAD,0.571,0.545,0.0,0.945,57.939,13325.267,0.053,0.213,0.733
BEISA,0.307,0.483,0.0,0.307,2056.541,14153.733,0.12,0.307,0.573
SHRUG,0.619,0.511,0.0,0.882,135.462,14333.667,0.067,0.2,0.733
FOSSA,0.304,0.566,1.0,0.333,47.996,13741.733,0.08,0.187,0.733
FLUYT,0.779,0.709,0.0,0.969,183.149,14150.467,0.107,0.093,0.8
CAMUS,0.511,0.36,0.0,0.525,48.395,13660.2,0.08,0.227,0.693
SPEED,0.331,0.396,1.0,0.325,31.397,13602.133,0.053,0.2,0.747
MAMIL,0.575,0.494,1.0,0.355,37.439,13988.6,0.067,0.2,0.733
ARRAY,0.375,0.448,1.0,0.38,97.299,13438.067,0.08,0.16,0.76
POLIO,0.545,0.437,1.0,0.253,281.785,13966.0,0.08,0.107,0.813
BARNS,0.429,0.213,0.0,0.417,90.596,13946.133,0.107,0.267,0.627
PANES,0.317,0.101,0.0,0.032,68.401,13879.2,0.067,0.347,0.587
SOUTS,0.362,0.228,1.0,0.257,73.558,13911.467,0.107,0.147,0.747
LIMAS,0.411,0.417,0.0,0.246,42.673,14066.533,0.027,0.32,0.653
FETCH,0.692,0.621,0.0,0.547,436.913,14254.733,0.08,0.253,0.667
QUECK,0.763,0.69,0.0,0.715,78.869,13251.267,0.04,0.16,0.8
TWINK,0.766,0.626,0.0,0.564,110.393,14205.867,0.107,0.133,0.76
GRAZE,0.524,0.55,0.0,0.903,213.574,13725.733,0.2,0.173,0.627
CROCK,0.708,0.595,1.0,0.618,180.621,13439.733,0.093,0.093,0.813
ALMUD,0.613,0.674,0.0,0.851,212.131,13668.0,0.067,0.173,0.76
OOHED,0.492,0.516,1.0,0.44,22.204,13959.867,0.04,0.187,0.773
COLOG,0.636,0.489,1.0,0.425,176.907,13905.267,0.08,0.08,0.84
WISHT,0.629,0.68,0.0,0.457,200.586,14303.733,0.08,0.227,0.693
BEARD,0.449,0.437,0.0,0.218,196.532,13729.333,0.107,0.28,0.613
SAMEL,0.308,0.291,0.0,0.231,1122.512,13594.533,0.107,0.28,0.613
AHIND,0.589,0.57,0.0,0.297,397.871,14293.933,0.12,0.213,0.667
BRUNG,0.753,0.616,0.0,0.63,160.254,14364.667,0.12,0.093,0.787
BARCA,0.477,0.406,1.0,0.371,246.434,13258.267,0.093,0.2,0.707
MAHAL,0.497,0.536,1.0,0.453,36.462,13543.533,0.04,0.187,0.773
JAMBE,0.607,0.586,0.0,0.777,62.478,13662.8,0.147,0.133,0.72
PLUSH,0.631,0.631,0.0,0.606,419.097,13911.2,0.12,0.093,0.787
BRUJA,0.681,0.65,0.0,0.99,121.118,13355.6,0.067,0.2,0.733
HOWRE,0.563,0.568,0.0,0.545,65.521,14242.4,0.133,0.16,0.707
MIDDY,0.758,0.585,1.0,0.859,42.265,13691.4,0.027,0.107,0.867
KABAB,0.589,0.585,1.0,0.829,14.363,12784.2,0.04,0.107,0.853
ZEALS,0.372,0.378,0.0,0.544,141.233,13326.267,0.08,0.293,0.627
MAZEL,0.536,0.437,0.0,0.845,56.262,13490.267,0.053,0.253,0.693
SPUTA,0.461,0.549,0.0,0.578,186.942,14134.333,0.08,0.293,0.627
GOORY,0.599,0.441,1.0,0.461,38.153,13970.0,0.04,0.133,0.827
PAILS,0.41,0.225,0.0,0.496,81.993,14133.267,0.107,0.253,0.64
SCOGS,0.447,0.384,1.0,0.685,36.687,13793.067,0.04,0.16,0.8
SNOOL,0.412,0.519,1.0,0.668,47.423,13619.133,0.04,0.173,0.787
POBOY,0.676,0.492,1.0,0.842,27.037,13456.0,0.04,0.053,0.907
DOEST,0.364,0.503,0.0,0.376,160.618,14225.0,0.133,0.24,0.627
ORIXA,0.52,0.669,0.0,0.834,248.629,13926.333,0.093,0.253,0.653
QUIPO,0.744,0.655,0.0,0.826,621.146,13987.4,0.093,0.08,0.827
BURBS,0.624,0.358,1.0,0.861,46.36,13276.267,0.04,0.173,0.787
GOADS,0.437,0.294,0.0,0.742,86.186,13863.0,0.093,0.213,0.693
BLAUD,0.632,0.543,0.0,0.748,1052.929,13555.533,0.107,0.133,0.76
FLOCS,0.586,0.467,0.0,0.862,62.465,13965.933,0.067,0.16,0.773
HARIM,0.558,0.446,0.0,0.175,69.526,14344.133,0.067,0.293,0.64
MAMEY,0.519,0.331,1.0,0.399,51.473,13354.8,0.067,0.213,0.72
PRIMP,0.701,0.575,1.0,0.426,80.275,14111.533,0.107,0.107,0.787
LATHY,0.613,0.525,0.0,0.272,119.636,14048.333,0.053,0.28,0.667
LUNES,0.413,0.26,0.0,0.281,43.565,13740.133,0.027,0.293,0.68
STAPS,0.314,0.344,1.0,0.471,138.225,13951.867,0.133,0.213,0.653
SALAD,0.308,0.314,1.0,0.208,106.904,13297.733,0.093,0.187,0.72
AGONY,0.577,0.586,0.0,0.546,174.537,14004.333,0.067,0.2,0.733
GUSLI,0.57,0.64,0.0,0.686,53.519,13757.8,0.013,0.24,0.747
DAMPS,0.511,0.391,0.0,0.717,41.363,13622.2,0.08,0.2,0.72
TOCKS,0.571,0.401,0.0,0.629,137.468,13770.667,0.04,0.24,0.72
HOICK,0.727,0.535,0.0,0.565,109.331,14449.467,0.107,0.107,0.787
MARRY,0.533,0.354,1.0,0.406,39.594,13296.267,0.067,0.187,0.747
AMPLY,0.641,0.679,0.0,0.615,95.325,13546.8,0.027,0.2,0.773
GLISK,0.61,0.629,0.0,0.711,165.954,13784.867,0.12,0.107,0.773
PULIS,0.551,0.338,0.0,0.446,58.623,13973.267,0.053,0.2,0.747
APTER,0.397,0.536,0.0,0.271,264.716,14113.733,0.04,0.44,0.52
SHELL,0.434,0.516,1.0,0.131,75.673,13652.333,0.04,0.24,0.72
CAPAS,0.369,0.317,1.0,0.343,43.794,13497.4,0.067,0.227,0.707
SAUNF,0.509,0.416,0.0,0.677,60.807,14258.8,0.133,0.173,0.693
KUTIS,0.576,0.457,0.0,0.65,49.647,14000.6,0.027,0.267,0.707
TEGGS,0.505,0.455,1.0,0.829,124.432,13822.067,0.04,0.293,0.667
HALSH,0.505,0.528,1.0,0.309,271.7,13685.8,0.12,0.173,0.707
GAMMA,0.548,0.557,1.0,0.596,16.815,13464.467,0.053,0.12,0.827
TARDY,0.556,0.383,0.0,0.558,132.315,14205.8,0.067,0.307,0.627
TEASE,0.141,0.429,1.0,0.036,1342.29,13864.867,0.227,0.213,0.56
TOWTS,0.543,0.388,1.0,0.64,34.426,13616.533,0.067,0.16,0.773
ABUTS,0.481,0.496,0.0,0.576,153.226,13843.267,0.067,0.293,0.64
ALLEE,0.257,0.416,1.0,0.124,206.11,13480.667,0.173,0.12,0.707
CHINS,0.599,0.398,0.0,0.087,105.745,14428.467,0.12,0.187,0.693
ROLLY,0.583,0.444,1.0,0.331,54.477,13884.0,0.067,0.12,0.813
SITUS,0.39,0.335,1.0,0.246,66.954,14035.667,0.053,0.24,0.707
BARDS,0.454,0.239,0.0,0.508,41.498,13567.0,0.067,0.28,0.653
PHYMA,0.701,0.708,0.0,0.909,1005.342,13618.867,0.013,0.213,0.773
TORRS,0.389,0.253,1.0,0.213,323.603,13855.8,0.067,0.253,0.68
CHACE,0.543,0.522,1.0,0.202,544.551,13988.0,0.213,0.133,0.653
BIKKY,0.843,0.597,1.0,0.997,16.217,13689.2,0.027,0.08,0.893
STOOR,0.373,0.52,1.0,0.054,158.071,13884.333,0.053,0.267,0.68
QUINK,0.825,0.631,0.0,0.701,55.646,13976.133,0.107,0.053,0.84
WEDGY,0.727,0.633,0.0,0.86,47.861,13671.333,0.027,0.16,0.813
VISES,0.335,0.358,1.0,0.06,21.853,13447.333,0.027,0.253,0.72
SWORE,0.384,0.481,0.0,0.302,189.584,13587.467,0.147,0.187,0.667
UPSEE,0.325,0.586,1.0,0.64,62.334,13815.667,0.107,0.147,0.747
GYVES,0.585,0.455,0.0,0.876,23.08,13643.2,0.027,0.213,0.76
HEAPY,0.532,0.49,0.0,0.512,297.821,14182.0,0.093,0.24,0.667
GILAS,0.429,0.353,0.0,0.348,89.467,13855.933,0.027,0.333,0.64
GAIRS,0.398,0.283,0.0,0.539,260.206,14000.667,0.107,0.307,0.587
YONIC,0.656,0.543,0.0,0.163,95.875,14146.867,0.04,0.2,0.76
WAGON,0.619,0.592,0.0,0.423,52.832,13839.8,0.053,0.2,0.747
RANCE,0.411,0.425,0.0,0.095,2322.49,13834.467,0.187,0.267,0.547
SWAIL,0.454,0.479,0.0,0.639,97.104,13986.4,0.12,0.213,0.667
LAXED,0.532,0.463,0.0,0.872,58.759,13552.733,0.053,0.267,0.68
PANNE,0.446,0.351,1.0,0.275,136.229,13924.8,0.187,0.147,0.667
TABUS,0.481,0.399,0.0,0.48,75.592,13774.733,0.053,0.307,0.64
ANOMY,0.558,0.599,0.0,0.363,76.691,13646.2,0.027,0.227,0.747
SWARM,0.489,0.512,0.0,0.583,98.4,13457.267,0.12,0.2,0.68
SWORD,0.542,0.521,0.0,0.591,67.013,13617.067,0.053,0.187,0.76
PHARM,0.623,0.545,0.0,0.447,147.011,14135.133,0.093,0.213,0.693
PENES,0.306,0.163,1.0,0.047,41.006,13641.0,0.04,0.24,0.72
SNOEK,0.404,0.395,0.0,0.945,34.467,13560.2,0.053,0.24,0.707
RAZET,0.462,0.444,0.0,0.825,735.835,13721.867,0.133,0.32,0.547
NAHAL,0.462,0.593,1.0,0.889,96.947,14011.533,0.053,0.213,0.733
KAPUS,0.527,0.448,0.0,0.825,20.075,13482.667,0.04,0.227,0.733
LOKEY,0.559,0.427,0.0,0.772,20.867,13511.467,0.04,0.173,0.787
GOBOS,0.53,0.416,1.0,0.751,24.549,13432.667,0.027,0.133,0.84
JAILS,0.48,0.334,0.0,0.724,62.742,13806.467,0.093,0.24,0.667
AFARS,0.327,0.429,1.0,0.544,199.107,13658.067,0.107,0.213,0.68
NERKA,0.427,0.522,0.0,0.541,123.442,13845.8,0.04,0.36,0.6
CUNDY,0.788,0.505,0.0,0.69,73.884,13987.867,0.04,0.133,0.827
SNARK,0.432,0.493,0.0,0.937,143.013,13809.0,0.12,0.24,0.64
INTRA,0.465,0.738,0.0,0.033,174.89,14348.4,0.013,0.453,0.533
BUNDH,0.815,0.551,0.0,0.683,219.157,14023.933,0.053,0.107,0.84
TANGA,0.468,0.452,1.0,0.123,63.792,14078.2,0.053,0.267,0.68
BAAED,0.368,0.239,1.0,0.928,108.224,13707.067,0.133,0.16,0.707
SOLUS,0.359,0.239,1.0,0.504,71.615,13298.2,0.08,0.107,0.813
SENOR,0.305,0.399,0.0,0.034,60.79,13850.067,0.053,0.333,0.613
UMAMI,0.604,0.705,1.0,0.52,62.433,14219.733,0.067,0.187,0.747
WARED,0.473,0.311,0.0,0.062,65.095,13446.4,0.067,0.307,0.627
SHARP,0.459,0.483,0.0,0.413,113.235,14198.2,0.12,0.253,0.627
PEWED,0.539,0.441,1.0,0.355,20.273,13517.867,0.04,0.133,0.827
TUKTU,0.746,0.658,1.0,0.958,32.368,13639.067,0.053,0.08,0.867
KNOWD,0.77,0.706,0.0,0.953,48.412,13384.6,0.0,0.12,0.88
DAWDS,0.544,0.424,1.0,0.955,18.413,13061.4,0.053,0.187,0.76
FLURR,0.667,0.657,1.0,0.826,66.067,13735.733,0.067,0.107,0.827
INERT,0.454,0.704,0.0,0.012,228.124,14305.133,0.067,0.387,0.547
TAXUS,0.532,0.434,0.0,0.95,46.531,13741.867,0.053,0.293,0.653
RUANA,0.399,0.492,1.0,0.886,401.891,14140.867,0.147,0.16,0.693
SULCI,0.557,0.503,0.0,0.789,108.35,14091.133,0.093,0.187,0.72
JADED,0.566,0.465,1.0,0.465,41.255,13376.467,0.067,0.213,0.72
OTHYL,0.677,0.883,0.0,0.735,410.498,14303.2,0.013,0.227,0.76
REDIG,0.541,0.607,0.0,0.124,1100.05,13856.133,0.08,0.267,0.653
